Strain,Other_designations,Substrate_of_isolation,Geographic_location,Dataset,Phylogeny,Genome_data,Reference
3-10,,Quercus cerris,"Parco del Monte Subasio, Italy",Restricted,Mediterranean oak,PRJEB7601,This study
AN1f2,AN1f2,Ficus carica,"Halkidiki, Greece",Large,Mosaic,PRJEB7601,This study
AN1g2,AN1g2,Ficus carica,"Halkidiki, Greece",Large,Mosaic,PRJEB7601,This study
AN3e1,AN3e1,Ficus carica,"Halkidiki, Greece",Large,Mosaic,PRJEB7601,This study
AWRI1631,N96,Wine,Australia,Restricted,Wine,PRJNA30553,[4]
AWRI796,Active Dry Wine Yeast,Commercial wine yeast,South Africa,Restricted,Wine,PRJNA48559,[5]
BC187,"UC10, UCD2120",Barrel fermentation,"Napa Valley, California, USA",Restricted,Wine,SGRP2,[3]
CBS7960,DBVPG7960,Isolated in a factory (ethanol from cane-sugar syrup),"Sao Paulo, Brazil",Restricted,Wine,PRJNA60391,
CLIB215,,Baker's yeast,New Zealand,Restricted,Wine,PRJNA60143,
CLIB324,,Baker's yeast,"Saigon, Vietnam",Large,Mosaic,PRJNA60415,
DAV1e,,Quercus robur,"Davenport Vineyards, Southern UK",Restricted,Wine,SRP059414,This study
PYR4b,PYR4b,Quercus pubescens,"Halkidiki, Greece",Restricted,Mediterranean oak,PRJEB7601,This study
DBVPG1106,NCYC3447,Grapes,Australia,Restricted,Wine,SGRP2,[3]
DBVPG1373,,Soil,Netherlands,Restricted,Wine,SGRP2,[3]
DBVPG1788,,Soil,Finland,Restricted,Wine,SGRP2,[3]
DBVPG6044,"Y5, NRRL Y-1546, CBS405",Bili wine from Osbeckia grandiflora,West Africa,Restricted,West Africa,SGRP2,[3]
DBVPG6765,,Unknown,Unknown,Restricted,Wine,SGRP2,[3]
EC1118,"Prise de Mousse, 59A",Industrial strain isolated from Champagne,France,Restricted,Wine,PRJEA37863,[8]
EC9,,Soil,"Evolution Canyon (valley bottom), Israel",Large,Mosaic,PRJNA73985,[6]
EXF6719,,Wine must,"Cuber, Slovenia",Restricted,Wine,PRJEB7601,This study
EXF6761,,Quercus petraea,"Cerkvenjak, Slovenia",Restricted,Wine,PRJEB7601,This study
EXF6780,,Quercus petraea,"Velike La??e, Kobila hill, Slovenia",Large,Mosaic,PRJEB7601,This study
EXF7145,,Quercus robur,"Fruska Gora National Park, Novi Sad, Serbia",Large,Mosaic,SRP059414,This study
EXF7179,,Quercus robur,"On the road from Durmitor to Niksic (Jasenovo polje), Montenegro",Restricted,Mediterranean oak,SRP059414,This study
EXF7200,,Quercus robur,"On the road from Durmitor to Niksic (Jasenovo polje), Montenegro",Restricted,Mediterranean oak,SRP059414,This study
FGXd,,Ficus carica,"Hotel Anixi, Anixi, Southern Greece",Restricted,Mediterranean oak,SRP059414,This study
FostersB,,Commercial brewing strain (ale),Unknown,Restricted,Beer,PRJNA48569,[5]
FostersO,,Commercial brewing strain (ale),Unknown,Restricted,Beer,PRJNA48567,[5]
HUN9,DBS14,Oak (isolate provided by Eladio Barrio),Hungary ,Restricted,Mediterranean oak,PRJEB7601,This study
I14,,Vineyard soil,"Petrina, Italy",Large,Mosaic,PRJNA60149,
IOC9002,,Commercial wine yeast,Unknown,Restricted,Wine,SRP059414,This study
JAY291,,Bioethanol-production strain,Unknown,Large,Mosaic,PRJNA32809,[2]
Kyokai7,K7,Japanese sake brewerie,Japan,Restricted,Sake/Philippines,PRJNA45827,[1]
L1374,,Wine (must from Pa?s variety),"Cauquenes, Chile",Restricted,Wine,SGRP2,[3]
L1528,,Wine (must from Cabernet variety),"Cauquenes, Chile",Restricted,Wine,SGRP2,[3]
LalvinQA23,,Commercial wine yeast,Portugal,Restricted,Wine,PRJNA48561,[5]
M22,,Vineyard,Italy,Restricted,Wine,PRJNA28815,[7]
MB7c,,Quercus pubescens,"Montbarri, Southern France",Restricted,Mediterranean oak,SRP059414,This study
OakArd11,,Oak,"Ard?che, Lyon, France",Large,Mosaic,PRJEB7675,This study
OakBord21,,Oak,"Bordeaux, France",Large,Mosaic,PRJEB7675,This study
OakGri7,,Oak,"Grinon, Paris, France",Large,Mosaic,PRJEB7675,This study
OakRom3,,Oak,"near Bucarest, Romania",Restricted,Mediterranean oak,PRJEB7675,This study
PW5,,Raphia palm wine,"Aba, Abia state, Nigeria",Restricted,West Africa,PRJNA60181,
PYR4e,,Quercus pubescens,"Agios Ioannis, near Pyrgadikia, Northern Greece",Restricted,Mediterranean oak,SRP059414,This study
RM11,Bb32,Vineyard,"California, USA",Restricted,Wine,PRJNA13674,
S288Cc,,Laboratory strain,"California, USA",Large,Mosaic,Reference,
SDO2s1,,Oak,"North Carolina, USA",Restricted,North America/Japan,PRJEB7601,This study
